name,id,stripped_tweet,time
logiosermis,210890134,"Είμαστε οι καλύτεροι στο ντιλίβερι, προτιμήστε μας, ή όπως είπε ο κ. Σαμαράς: Υou asked and we’ve de",1389964402
paraskhnio,268283495,"Στο Μαξίμου θα γιορτάσει φέτος ο Αντώνης Σαμαράς",1389963917
sporfmvolos,1288924382,"Στο επίκεντρο των αμερικανικών ΜΜΕ ο Σαμαράς",1389963806
Chrysoulagou,386643550,"ΒΙΝΤΕΟ-Βορίδης στον Παπαδημούλη: Προτρέχετε και μπορεί να σκοντάψετε -",1389963748
paraskhnio,268283495,"Ο Σαμαράς και… το Σουντόκου",1389963629
DumSpiroInspiro,102391647,"να δείς που ο Σαμαράς τις Αλκυονίδες μέρες θα τις παρουσιάσει σαν πρωτογενές πλεόνασμα και σημάδια ανάπτυξης.",1389963517
SECRETREALTRUTH,219987597,"Ο Σαμαράς κρύβει-καλύπτει τους κλεφταράδες της λίστας Λαγκαρντ ελπίζοντας στην… σωτηρία του.",1389963485
ygeia360,631951397,"ΠΙΣ: Να μην προωθηθεί το νομοσχέδιο έκτρωμα για την ΠΦΥ-Να αναλάβει ο Σαμαράς τις ευθύνες του! via",1389963376
loukiach,294752863,"καλή μου αφού δεν πατάει ο Σαμαράς ας τα πει κ κάποιος τα λόγια του πρωθυπουργού",1389962772
karfitsagr,541751581,"Ο Αντώνης Σαμαράς και οι άθλοι του… Ηρακλή",1389962733
Giapraki_gr,596308347,"«O Σαμαράς σήμερα ξεπουλάει τα ενεργειακά δίκτυα, αύριο ολόκληρη την ΕΛΛΑΔΑ»",1389962411
alkorner,254735220,"Σαμαράς προς τους βουλευτές του: ""Ρίξτε χειροβομβίδες εναντίον του ΣΥΡΙΖΑ"". Να τους παραγγείλεις και κανα καλσόν Αντωνάκη.",1389962148
mifo16,607433622,"αυτό νομίζετε οτι κάνει ο Σαμαράς?Πάντως είστε απαράδεκτοι σε συνθήκες δημοκρατίας να αντιγράφετε μεθόδους άλλων εποχών",1389961418
menacius,45086371,"Θα πάει να πουλήσει και τα ΕΛΤΑ σε ιδιώτες ο Σαμαράς, και θα τους πει ""να, δείτε, σφαίρα πάει"".",1389961334
FreepenGR,378213812,"Κράξιμο της ελληνικής προεδρίας στις Βρυξέλλες. ""Σαμαράς - Μασκαράς"" - ΒΙΝΤΕΟ",1389961233
spoRT_Business_,850691076,"Σαμαράς και Στουρνάρας συζήτησαν για προϋπολογισμό, τρόικα και - Sport &amp; Business",1389961207
newscodegr,200035724,"Για προϋπολογισμό και τρόικα συζήτησαν Σαμαράς-Στουρνάρας",1389961031
GreeceReport,1527556034,"Greece Report: Α.Σαμαράς, ο αρχιερέας του ψεύδους...",1389960953
giopso,44691098,"Το πολύ-πολύ να ρίξουν κανα κλάσιμο στ αρχίδια Σαμαράς προς βουλευτές του: ""Ρίξτε χειροβομβίδες εναντίον του ΣΥΡΙΖΑ"".",1389960627
Hatzianastasio1,873700615,"Σαμαράς προς βουλευτές του: Να μάθετε παπαγαλία αυτά που σας έστειλε η Ασημακόπουλου!!! Αυτή είναι η ελεύθερη βούληση των βουλευτών!!!",1389960546
LenaMour22,340830420,"Όλοι Μαξίμου κερνάει ο Σαμαράς.",1389960262
scyldunjel,290053403,"Σήμερα γιορτάζει ο αξιαγάπητος, πολυμήχανος, αξιέπαινος πατριωτης, ο Πραιμινιστερουλης μας βρεεε ο Αντωνάκης Σαμαράς!!! :D Ψόφος βρεεε ^_^",1389960238
moneybusinessAM,415607046,"Πρωθυπουργός Αντώνης Σαμαράς Ελλάδα δεν θα χρειαστεί περισσότερα δάνεια: via",1389960198
mary_black11,858798637,"Ωχ γιορτάζει ο Σαμαράς... θα πέσει ο ουρανός να μας πλακώσει....",1389959912
07777U,1952227238,"ΑΝΑΤΡΟΠΗ : Κατώτερος των περιστάσεων ο Σαμαράς. Μοιραίος και ...",1389959706
07777U,1952227238,"ΑΝΑΤΡΟΠΗ : Ψεύτης, αρχιψεύτης, ψευταράς... Σαμαράς !",1389959650
lefteriskris,299701351,"Φαντάζομαι ότι και όταν ο Σαμαράς είχε πιτσαρία, και η πίτσα πήγαινε στον πελάτη στραπατσαρισμένη, ""We delivered"" έλεγ…",1389959273
adamsbill033,1593927438,"Το ΧΩΝΙ - ΦΩΤΟΓΡΑΦΙΑ: Σαμαράς και Βενιζέλος μοιράζουν... λεφτά στη Θεσσαλονίκη!:",1389959198
action24_,1896875864,"Στο Μέγαρο Μαξίμου θα γιορτάσει φέτος ο Αντώνης Σαμαράς: Ανοιχτές θα αφήσει σήμερα τις πόρτες του γραφείου του...",1389958618
arsenalistas91,417814338,"δεν προλαβαίνει τις ευχές σήμερα ο σαμαράς.με όλα τα δάχτυλα",1389958300
alterinfogr,912995155,"Ο Σαμαράς παρήγγειλε, οι ευρωβουλευτές πλήρωσαν... -",1389958289
NIKARAS,50999953,"Κατώτερος των περιστάσεων ο Σαμαράς.",1389958019
bloggerstv,399020768,"Ο Αντώνης Σαμαράς γιορτάζει &amp; ανοίγει το Μαξίμου για τους καλεσμένους του!",1389957820
dimitrisXY,167657361,"Ωραία τα είπε σήμερα ο Στουρνάρας. Οι εκλογές του 2012 που ο Σαμαράς ζητούσε επί μήνες &amp; τελικά κέρδισε, κατέστρεψαν την ελλ…",1389957606
AnatropiMegaTV,1875388802,"Δευτέρα, 23:30 Μ.Βορίδης, Θ.Πάγκαλος, Π.Καψής, Π.Τατσόπουλος, Γ.Παπαδάκου, Α.Στεφανάκης, Μ.Μασουράκης, Γ.Σούρλας, Β.Φλωρίδης",1389957256
trendinaliaGR,1370442307,"'Σαμαράς' shows up at this time as Trend in Greece",1389957127
NODE_Prevezas,2228047975,"“ ΝΟ.Δ.Ε. ΚΑΣΤΟΡΙΑΣ: Στη Συγγρού το απόγευμα ο Σαμαράς",1389956672
akousgr,150738879,"Θεσσαλονίκη: «Σαμαράς» και «Βενιζέλος» μοιράζουν χρήματα σε διαμαρτυρία (pics) - Λεφτά υπάρχουν! &gt;...",1389956601
ZooM_BloG,235699257,"''Σαμαράς και Βενιζέλος'' μοιράζουν χρήματα σε διαμαρτυρία - Φωτό!",1389956349
MetroGreece,263374827,"Ευχές... το απόγευμα θα δεχθεί ο Σαμαράς! - Στα γραφεία του κόμματος σύμφωνα με πληροφορίες του metrogreece.gr!",1389956056
GEORGEPLATIAS,617993873,"Αλληλεγγύη Αντίσταση Ανατροπή: Αυτές είναι οι απολύσεις που έχουν υπογράψει Σαμαράς, Βενιζέλος,...",1389955988
AliceFotiou,1582991708,"Στην οικονομική θέση πέταξαν Στουρνάρας και Χατζηδάκης - Ο Σαμαράς έλυνε μανιωδώς sudoku — KoolNews …",1389955582
ArcticWildWolf,1259439835,"Έκτακτο δελτίο! Σαμαράς-Βενιζέλος στη διαμαρτυρία SOSτε το νερό, στη Θεσσαλονίκη. Φωτο:",1389955022
Theophanes_Ka,72089457,"Όλοι Μαξίμου σήμερα, κερνάει νουαζέτα ο Σαμαράς.",1389954800
giwrgosSko,1114658323,"Ο Σαμαράς καταποντίζεται και ονειρεύεται…",1389954652
ExpressGR,475832580,"Ο Αντ. Σαμαράς σε εκδήλωση για τα 90 χρόνια του Ελληνογερμανικού Επιμελητηρίου",1389954636
CHRISTINATARRAZ,385116175,"Χρόνια πολλά στον Αντώνη Σαμαράκη...εσύ το Λάθος στην κληρονομια σου κ ο Σαμαράς το Τάφος στην δική του...",1389954349
matakias24,384681370,"Ο Κασιδιάρης έκανε μήνυση στις ανακρίτριες και στον εισαγγελέα",1389964761
kazepakos,105007657,"Ο Κασιδιάρης μηνύει ανακριτές και εισαγγελείς",1389964684
newsnewscom,1264218230,"Μήνυση κατά των ανακριτριών κατέθεσε ο Κασιδιάρης:",1389964475
